sin_cambio,urbanizacion,ganancia_veg,mean,count,sum,perdida_veg,5,4,zona,urbanizacion_pct,perdida_veg_pct,ganancia_veg_pct,urbanizacion_ha,perdida_veg_ha,ganancia_veg_ha
44,3.0,3.0,0.24,50,12.0,,,,13106101004010,6.0,,6.0,0.03,,0.03
71,2.0,2.0,0.13157894736842105,76,10.0,1.0,,,13106101004014,2.6315789473684212,1.3157894736842106,2.6315789473684212,0.02,0.01,0.02
440,83.0,19.0,0.38078902229845624,583,222.0,41.0,,,13106081005009,14.236706689536879,7.0325900514579756,3.2590051457975986,0.8300000000000001,0.41000000000000003,0.19
78,,,0.05,80,4.0,2.0,,,13106131003025,,2.5,,,0.02,
94,2.0,9.0,0.32407407407407407,108,35.0,3.0,,,13106131003002,1.8518518518518519,2.7777777777777777,8.333333333333334,0.02,0.03,0.09
132,2.0,14.0,0.32,150,48.0,2.0,,,13106101004001,1.3333333333333333,1.3333333333333333,9.333333333333334,0.02,0.02,0.14
46,3.0,2.0,0.21153846153846154,52,11.0,1.0,,,13106101004011,5.769230769230769,1.9230769230769231,3.8461538461538463,0.03,0.01,0.02
84,3.0,2.0,0.10112359550561797,89,9.0,,,,13106131003001,3.3707865168539324,,2.247191011235955,0.03,,0.02
47,4.0,4.0,0.43333333333333335,60,26.0,5.0,,,13106101004013,6.666666666666667,8.333333333333334,6.666666666666667,0.04,0.05,0.04
187,5.0,3.0,0.1568627450980392,204,32.0,9.0,,,13106101004015,2.450980392156863,4.411764705882353,1.4705882352941178,0.05,0.09,0.03
135,,2.0,0.07194244604316546,139,10.0,2.0,,,13106131003024,,1.4388489208633093,1.4388489208633093,,0.02,0.02
25,,,0.14814814814814814,27,4.0,2.0,,,13106131003020,,7.407407407407407,,,0.02,
151,7.0,10.0,0.25146198830409355,171,43.0,3.0,,,13106101003014,4.093567251461988,1.7543859649122806,5.847953216374269,0.07,0.03,0.1
110,,1.0,0.02702702702702703,111,3.0,,,,13106131003019,,,0.9009009009009009,,,0.01
152,,2.0,0.03896103896103896,154,6.0,,,,13106131003009,,,1.2987012987012987,,,0.02
1272,154.0,67.0,0.38390663390663393,1628,625.0,135.0,,,13106081006002,9.45945945945946,8.292383292383292,4.115479115479116,1.54,1.35,0.67
97,9.0,12.0,0.3949579831932773,119,47.0,1.0,,,13106081005002,7.563025210084033,0.8403361344537815,10.084033613445378,0.09,0.01,0.12
40,,7.0,0.44680851063829785,47,21.0,,,,13106101004012,,,14.893617021276595,,,0.07
38,1.0,3.0,0.23809523809523808,42,10.0,,,,13106101003017,2.380952380952381,,7.142857142857143,0.01,,0.03
101,,3.0,0.23893805309734514,113,27.0,9.0,,,13106051001022,,7.964601769911504,2.6548672566371683,,0.09,0.03
52,,2.0,0.14545454545454545,55,8.0,1.0,,,13106101004004,,1.8181818181818181,3.6363636363636362,,0.01,0.02
184,2.0,6.0,0.26666666666666666,210,56.0,18.0,,,13106101003013,0.9523809523809523,8.571428571428571,2.857142857142857,0.02,0.18,0.06
30,1.0,,0.39473684210526316,38,15.0,7.0,,,13106101004016,2.6315789473684212,18.42105263157895,,0.01,0.07,
73,,1.0,0.04054054054054054,74,3.0,,,,13106101003016,,,1.3513513513513513,,,0.01
23,,,0.23076923076923078,26,6.0,3.0,,,13106091002003,,11.538461538461538,,,0.03,
30,,,0.0,30,0.0,,,,13106131003021,,,,,,
27,2.0,,0.35294117647058826,34,12.0,5.0,,,13106101004002,5.882352941176471,14.705882352941176,,0.02,0.05,
24,,,0.0,24,0.0,,,,13106091002002,,,,,,
210,8.0,5.0,0.18454935622317598,233,43.0,10.0,,,13106101003012,3.4334763948497855,4.291845493562231,2.1459227467811157,0.08,0.1,0.05
23,1.0,,0.041666666666666664,24,1.0,,,,13106091002001,4.166666666666667,,,0.01,,
30,3.0,,0.2,35,7.0,2.0,,,13106081006001,8.571428571428571,5.714285714285714,,0.03,0.02,
10,2.0,,0.5333333333333333,15,8.0,3.0,,,13106101001031,13.333333333333334,20.0,,0.02,0.03,
81,4.0,,0.21505376344086022,93,20.0,8.0,,,13106101004017,4.301075268817204,8.602150537634408,,0.04,0.08,
26,3.0,,0.10344827586206896,29,3.0,,,,13106091001008,10.344827586206897,,,0.03,,
836,68.0,79.0,0.3889427740058196,1031,401.0,48.0,,,13106101001026,6.595538312318138,4.655674102812803,7.662463627546072,0.68,0.48,0.79
45,,,0.0,45,0.0,,,,13106051001021,,,,,,
52,,,0.14285714285714285,56,8.0,4.0,,,13106081005004,,7.142857142857143,,,0.04,
806,47.0,81.0,0.33015873015873015,945,312.0,11.0,,,13106101004022,4.973544973544974,1.164021164021164,8.571428571428571,0.47000000000000003,0.11,0.81
23,,1.0,0.3333333333333333,27,9.0,3.0,,,13106091001007,,11.11111111111111,3.7037037037037037,,0.03,0.01
18,1.0,3.0,0.45454545454545453,22,10.0,,,,13106081005008,4.545454545454546,,13.636363636363637,0.01,,0.03
42,3.0,,0.06666666666666667,45,3.0,,,,13106091002004,6.666666666666667,,,0.03,,
20,1.0,1.0,0.18181818181818182,22,4.0,,,,13106091001006,4.545454545454546,,4.545454545454546,0.01,,0.01
30,7.0,,0.1891891891891892,37,7.0,,,,13106091002005,18.91891891891892,,,0.07,,
40,,2.0,0.14285714285714285,42,6.0,,,,13106091002029,,,4.761904761904762,,,0.02
31,1.0,,0.2972972972972973,37,11.0,5.0,,,13106091001004,2.7027027027027026,13.513513513513514,,0.01,0.05,
415,3.0,9.0,0.15246636771300448,446,68.0,19.0,,,13106131003022,0.672645739910314,4.260089686098655,2.0179372197309418,0.03,0.19,0.09
20,6.0,,0.9777777777777777,45,44.0,19.0,,,13106101004018,13.333333333333334,42.22222222222222,,0.06,0.19,
13,,5.0,0.8333333333333334,18,15.0,,,,13106101001030,,,27.77777777777778,,,0.05
367,7.0,12.0,0.15443037974683543,395,61.0,9.0,,,13106131003008,1.7721518987341771,2.278481012658228,3.037974683544304,0.07,0.09,0.12
36,2.0,4.0,0.3333333333333333,42,14.0,,,,13106091001003,4.761904761904762,,9.523809523809524,0.02,,0.04
278,14.0,16.0,0.26332288401253917,319,84.0,11.0,,,13106131003007,4.38871473354232,3.4482758620689653,5.015673981191223,0.14,0.11,0.16
297,5.0,7.0,0.08414239482200647,309,26.0,,,,13106131003004,1.6181229773462784,,2.26537216828479,0.05,,0.07
155,,17.0,0.32571428571428573,175,57.0,3.0,,,13106131003003,,1.7142857142857142,9.714285714285714,,0.03,0.17
117,,3.0,0.075,120,9.0,,,,13106051001023,,,2.5,,,0.03
33,,3.0,0.34210526315789475,38,13.0,2.0,,,13106091001002,,5.2631578947368425,7.894736842105263,,0.02,0.03
34,,3.0,0.2894736842105263,38,11.0,1.0,,,13106081005006,,2.6315789473684212,7.894736842105263,,0.01,0.03
92,,1.0,0.05319148936170213,94,5.0,1.0,,,13106051001020,,1.0638297872340425,1.0638297872340425,,0.01,0.01
45,,1.0,0.06521739130434782,46,3.0,,,,13106091001001,,,2.1739130434782608,,,0.01
508,27.0,27.0,0.22996515679442509,574,132.0,12.0,,,13106081005033,4.70383275261324,2.0905923344947737,4.70383275261324,0.27,0.12,0.27
102,5.0,3.0,0.12727272727272726,110,14.0,,,,13106051001002,4.545454545454546,,2.727272727272727,0.05,,0.03
60,6.0,7.0,0.45454545454545453,77,35.0,4.0,,,13106101001002,7.792207792207792,5.194805194805195,9.090909090909092,0.06,0.04,0.07
23,,,0.08333333333333333,24,2.0,1.0,,,13106101001029,,4.166666666666667,,,0.01,
420,52.0,18.0,0.3446969696969697,528,182.0,38.0,,,13106081006003,9.848484848484848,7.196969696969697,3.409090909090909,0.52,0.38,0.18
403,18.0,2.0,0.09722222222222222,432,42.0,9.0,,,13106081002014,4.166666666666667,2.0833333333333335,0.46296296296296297,0.18,0.09,0.02
51,,,0.0,51,0.0,,,,13106101001001,,,,,,
44,1.0,,0.06521739130434782,46,3.0,1.0,,,13106081005022,2.1739130434782608,2.1739130434782608,,0.01,0.01,
51,,3.0,0.29310344827586204,58,17.0,4.0,,,13106091002028,,6.896551724137931,5.172413793103448,,0.04,0.03
67,,1.0,0.1,70,7.0,2.0,,,13106091002027,,2.857142857142857,1.4285714285714286,,0.02,0.01
209,10.0,8.0,0.15789473684210525,228,36.0,1.0,,,13106091002024,4.385964912280702,0.43859649122807015,3.508771929824561,0.1,0.01,0.08
56,1.0,,0.017543859649122806,57,1.0,,,,13106091002009,1.7543859649122806,,,0.01,,
58,,,0.06666666666666667,60,4.0,2.0,,,13106091002008,,3.3333333333333335,,,0.02,
36,,,0.43478260869565216,46,20.0,10.0,,,13106101004021,,21.73913043478261,,,0.1,
51,3.0,,0.09090909090909091,55,5.0,1.0,,,13106091002007,5.454545454545454,1.8181818181818181,,0.03,0.01,
697,10.0,34.0,0.1586021505376344,744,118.0,3.0,,,13106051001001,1.3440860215053763,0.4032258064516129,4.56989247311828,0.1,0.03,0.34
50,,,0.18181818181818182,55,10.0,5.0,,,13106091001010,,9.090909090909092,,,0.05,
16,1.0,,0.42857142857142855,21,9.0,4.0,,,13106101001028,4.761904761904762,19.047619047619047,,0.01,0.04,
121,5.0,,0.11450381679389313,131,15.0,5.0,,,13106051001024,3.816793893129771,3.816793893129771,,0.05,0.05,
44,2.0,3.0,0.22448979591836735,49,11.0,,,,13106101004020,4.081632653061225,,6.122448979591836,0.02,,0.03
51,,1.0,0.057692307692307696,52,3.0,,,,13106091001012,,,1.9230769230769231,,,0.01
40,1.0,2.0,0.16279069767441862,43,7.0,,,,13106081005021,2.3255813953488373,,4.651162790697675,0.01,,0.02
89,5.0,2.0,0.24271844660194175,103,25.0,7.0,,,13106051001019,4.854368932038835,6.796116504854369,1.941747572815534,0.05,0.07,0.02
52,4.0,,0.13793103448275862,58,8.0,2.0,,,13106091001013,6.896551724137931,3.4482758620689653,,0.04,0.02,
20,,2.0,0.4166666666666667,24,10.0,2.0,,,13106081005023,,8.333333333333334,8.333333333333334,,0.02,0.02
52,,3.0,0.22807017543859648,57,13.0,2.0,,,13106091001014,,3.508771929824561,5.2631578947368425,,0.02,0.03
127,2.0,,0.03076923076923077,130,4.0,1.0,,,13106051001003,1.5384615384615385,0.7692307692307693,,0.02,0.01,
52,4.0,,0.2857142857142857,63,18.0,7.0,,,13106091001015,6.349206349206349,11.11111111111111,,0.04,0.07,
42,1.0,,0.023255813953488372,43,1.0,,,,13106081005016,2.3255813953488373,,,0.01,,
31,,5.0,0.4166666666666667,36,15.0,,,,13106081005015,,,13.88888888888889,,,0.05
42,1.0,1.0,0.2857142857142857,49,14.0,5.0,,,13106081005010,2.0408163265306123,10.204081632653061,2.0408163265306123,0.01,0.05,0.01
21,,,0.0,21,0.0,,,,13106081005019,,,,,,
